,token,v_1,v_2
0,said,-0.6551538,1.9972756
1,year,-0.12470946,0.004688016
2,one,-0.7111742,-0.27023882
3,would,-0.90356266,0.9282372
4,also,-0.04735826,0.04695655
5,two,-1.1209555,1.0591525
6,first,-0.40796822,0.024420774
7,time,-0.26488784,-0.25362086
8,last,0.008131118,-0.28030068
9,new,-0.07835803,0.13697109
10,people,-0.9326792,0.3234834
11,could,-0.88494897,0.8155958
12,years,-0.4570084,-0.3811238
13,three,-1.0151033,1.3918755
14,million,0.28302372,1.7866688
15,like,-1.2682723,-0.8078195
16,percent,0.54037666,1.4970129
17,get,-1.4608011,-0.13068667
18,game,-0.93392915,-0.5527409
19,back,-0.610261,-1.112597
20,company,0.008713435,1.456125
21,team,-1.0193611,-0.75423235
22,made,-0.5340517,0.24784902
23,make,-0.55940473,0.35175347
24,second,-0.5762479,0.79640037
25,state,0.5724871,0.28417358
26,well,0.30180475,-0.19849096
27,day,-0.11595011,0.10340921
28,season,-0.6375977,-0.20330408
29,says,-0.72401243,2.007844
30,week,-0.15952814,0.0702237
31,government,0.18223874,0.27482474
32,home,0.027675912,-0.26167086
33,going,-1.355519,-0.0428121
34,good,-0.5202959,-1.4250689
35,many,-1.6846038,0.7542857
36,way,-0.4878635,-0.33550286
37,four,-0.9998185,1.4655577
38,may,-0.9190029,0.7278758
39,since,-0.031079192,-0.23707186
40,work,-0.08809212,-0.07642585
41,take,-1.0516844,0.059649862
42,including,-1.088995,0.8381894
43,high,-0.89841896,0.25635237
44,next,-0.40243968,-0.19923599
45,much,-0.7814219,-0.55500877
46,still,-0.5694387,-0.5285455
47,go,-1.0637981,-0.41726777
48,think,-1.6662639,-0.19980638
49,old,-0.02027843,-1.3982869
50,even,-0.7572571,-0.5134487
51,world,-0.73001766,0.932636
52,see,-0.9287391,0.08951228
53,say,-1.021949,1.5645669
54,business,-0.15925655,1.4030985
55,five,-0.95560575,1.5627989
56,told,-0.6940555,2.1125433
57,us,-1.7907417,-0.2254044
58,right,-1.3678427,-0.8720224
59,play,-1.2763141,-0.63809633
60,help,-0.37655982,1.5162381
61,market,-0.104849525,1.5748354
62,know,-1.3311756,0.270811
63,end,-0.41174728,-0.5699137
64,long,-0.41407335,-0.2568639
65,information,0.7512523,1.9183367
66,points,-1.4674426,0.043372326
67,part,-0.24776006,0.06361398
68,around,-1.5985419,-0.055506233
69,police,-0.24492005,-1.3708166
70,want,-0.9524809,1.4796716
71,based,-0.21080369,0.71564806
72,got,-1.5511649,-0.36224356
73,third,-0.6032141,1.082693
74,school,1.3460861,-0.24701157
75,left,-0.78145516,-1.0566041
76,another,-0.8228099,-0.3936295
77,country,-0.5112438,0.7514887
78,need,-0.74852955,1.2120347
79,best,-0.8418492,-0.7060678
