,token,v_1,v_2
0,said,1.3997481,0.6325519
1,year,0.08673885,2.0446336
2,one,0.059173953,1.3135223
3,would,0.5153916,1.4575776
4,also,0.02510997,1.047069
5,two,0.45679015,1.3049573
6,first,0.11586452,2.1791773
7,time,-0.012869304,1.6994402
8,last,-0.015240155,1.9871086
9,new,-0.008497747,0.07351332
10,people,-0.22280748,0.7568506
11,could,0.47842896,1.4547614
12,years,0.14698933,1.8663719
13,three,0.58694774,1.5317696
14,million,-0.10738062,-0.37587047
15,like,0.869745,0.9198965
16,percent,-0.08402134,0.080334045
17,get,-0.073873006,1.3437018
18,game,0.23994118,2.5136824
19,back,-0.5042862,1.3577992
20,company,0.04066274,-0.21095756
21,team,0.097172916,2.3381486
22,made,0.2070761,0.44159883
23,make,0.34995833,0.29566514
24,second,0.15653141,2.4795928
25,state,-0.4800468,0.8559569
26,well,0.008053859,0.88782734
27,day,-0.0030735335,1.9529107
28,season,0.29465356,2.3584135
29,says,1.5446695,0.5149923
30,week,0.038634628,2.1199818
31,government,-1.0496345,0.17857021
32,home,-0.119087845,0.6886331
33,going,0.48090577,1.538508
34,good,0.83412755,1.676971
35,many,0.030971741,0.7852839
36,way,0.0029851806,1.2186385
37,four,0.6523658,1.5444558
38,may,0.5164321,1.4384761
39,since,-0.033375107,1.8077185
40,work,0.04425634,0.9825368
41,take,0.66145426,1.5085005
42,including,0.1322352,0.18169397
43,high,-0.0801525,1.2749968
44,next,-0.01696989,2.03481
45,much,0.36548012,1.5742451
46,still,0.4927687,1.4172943
47,go,0.19602376,1.5174319
48,think,1.3856643,1.1529689
49,old,-0.3713509,1.0031826
50,even,0.41499567,1.1251675
51,world,0.01417053,0.11128074
52,see,0.6539333,1.2708226
53,say,1.6039134,1.0118654
54,business,-0.13884091,0.049541984
55,five,0.6965699,1.5493892
56,told,1.4119971,0.5949378
57,us,-1.5202931,0.56035185
58,right,-0.029831594,1.4750191
59,play,0.13171417,2.4589677
60,help,0.5722401,0.80668557
61,market,0.55752605,-0.18407248
62,know,1.2402548,1.0806631
63,end,-0.11843113,1.8964553
64,long,-0.6427172,1.4305892
65,information,0.48044652,-1.6517037
66,points,-0.069771394,2.366066
67,part,0.01588602,0.79843855
68,around,-1.422376,0.6092727
69,police,-0.08249675,1.0329444
70,want,1.1793476,1.2866255
71,based,0.19655901,-0.053960633
72,got,0.0022998797,1.6577758
73,third,0.20173986,2.5794196
74,school,0.6780335,0.4810245
75,left,-0.057804625,1.6182506
76,another,-0.0150036905,1.3483384
77,country,-0.03716687,0.4856634
78,need,0.5010011,1.2881252
79,best,0.47213942,1.5199215
80,win,0.086400904,2.65284
81,quarter,-0.04027445,2.1909351
82,use,0.53054625,-0.34044597
83,today,-0.20368685,1.6964285
84,public,-0.015213888,0.55061215
85,run,-0.37153953,1.7983621
86,set,-0.24687558,0.7379247
87,month,0.029022995,2.1189427
88,top,-0.11795375,1.7673838
89,billion,-0.13329867,-0.46466348
90,come,0.13414332,1.4653894
91,city,0.0051468723,1.3084615
92,place,-0.094160914,1.7057691
93,night,0.5351545,1.8640397
94,six,0.72547287,1.5831228
95,group,-1.2617489,0.6574028
96,really,1.1456248,1.1744858
97,found,0.013585448,0.38723683
98,used,0.44285375,-0.18039571
99,lot,0.65585065,1.4216623
100,money,-0.10481796,0.8848793
101,put,-0.024478622,1.136606
102,games,0.25149816,2.4935384
103,support,0.32605153,1.5037217
104,program,-0.16547796,0.048261683
105,half,-0.1937877,2.0985556
106,report,-0.20545217,0.6120481
107,family,0.009263756,0.75553524
108,months,0.12919764,2.2231195
109,number,-1.046645,0.93578625
110,officials,-0.27132553,0.99104154
111,former,-0.2789833,1.1193643
112,man,0.04101497,1.0764203
113,better,0.44961992,1.6081907
114,days,0.13636029,2.2450721
115,came,0.053189337,1.8395158
116,lead,-0.07818353,1.7971051
117,life,-1.0702955,0.64440155
118,show,-0.04939693,0.112393506
119,past,-0.048331887,2.0176156
120,took,0.5502824,1.7477454
121,added,1.2945981,0.5890549
122,expected,0.6392146,1.8896496
123,called,0.05969445,0.67946625
124,great,1.1435295,1.6586511
125,services,-0.00409708,-0.4162091
126,children,1.4362445,0.20112611
127,hit,-0.09848094,2.1135318
128,area,-0.10657262,1.0357924
129,system,-0.069387004,-0.84547436
130,every,-0.21713457,1.3710877
131,pm,1.9703143,0.50350565
132,big,-0.050577357,1.3945565
133,service,-0.079570994,-0.43349236
134,per,-0.06892478,0.05147238
135,members,-0.15928565,0.93782145
136,early,-0.049743406,2.1381087
137,point,-0.29972684,2.0597436
138,start,0.2606257,1.8875248
139,companies,0.3564682,-0.1697649
140,little,0.6735667,1.3876694
141,case,-0.11265978,1.1699923
142,ago,-0.087308235,2.2042687
143,local,0.10898608,0.49381965
144,according,0.7433711,0.28755915
145,never,0.5714715,1.4350855
146,without,-0.0050095394,1.0339673
147,sales,0.3165015,-1.1080611
148,went,0.028414417,1.9433155
149,players,0.082946256,2.3972018
150,financial,-0.47162712,0.39804545
151,news,-0.004358999,0.19633743
152,share,-0.17530964,0.7951958
153,several,0.07164201,0.83306825
154,free,-1.1450564,-0.4051067
155,away,-0.9245536,1.4087838
156,already,-0.28011644,1.4931916
157,industry,0.5040552,-0.223389
158,call,-0.047389843,-0.13339946
159,students,1.0729966,0.47216544
160,line,-0.7552235,0.850116
161,available,0.8872535,-1.7322752
162,making,0.28112972,0.3612179
163,held,-0.06506054,1.2611415
164,final,0.07513743,2.4225392
165,power,-0.50412583,0.021535087
166,plan,-0.007180353,0.95178133
167,might,0.59433454,1.4348148
168,least,-0.2532815,1.4748383
169,look,0.9599016,1.0069841
170,forward,-0.091985196,2.459392
171,give,0.7511918,0.98088
172,later,-0.16216742,2.1918974
173,full,-0.007908719,1.798896
174,must,0.17963919,1.3076693
